,r2_score,rmse,mae
LinearRegression,0.7205009707940984,13520.79085473144,20026.687575585653
Lasso,0.7205009565362153,13520.791286851118,20026.688086389153
Ridge,0.7205005951676478,13520.798908713883,20026.701032789893
ElasticNet,0.7204815697873057,13521.20670986026,20027.382624796697
DecisionTree,0.7027783118254296,13528.104098802158,20651.86222661883
RandomForest,0.7475088648422991,11690.783829250095,19034.524764427606
KNeighbors,0.5834785800552902,13830.405684754522,24447.679356463494
AdaBoost,0.7134176239411028,12854.158590108464,20278.86809638745
XGBoost,0.7026699781417847,12200.7421875,20655.625093421888
CatBoost,0.702996030461879,12364.29432286704,20644.296966136484
