iter	RMSE
0	33115.34562
1	31353.72713
2	29771.94921
3	28331.61782
4	26965.86363
5	25817.16721
6	24905.63951
7	24058.33622
8	23197.42753
9	22508.53375
10	21881.47216
11	21213.04508
12	20695.70477
13	20196.51099
14	19826.22685
15	19399.708
16	19072.84698
17	18759.02021
18	18421.80693
19	18202.98022
20	17915.21281
21	17741.61427
22	17527.34993
23	17289.61141
24	17140.37945
25	17019.01014
26	16875.22153
27	16758.57284
28	16612.59189
29	16489.311
30	16380.02619
31	16294.5463
32	16195.60632
33	16052.84291
34	15957.25988
35	15790.54239
36	15669.06218
37	15569.29052
38	15485.83649
39	15442.11842
40	15388.09395
41	15359.82601
42	15317.86697
43	15212.10436
44	15173.20221
45	15120.48943
46	15073.74056
47	15000.53549
48	14979.41407
49	14899.46923
50	14860.66593
51	14769.7986
52	14697.93843
53	14592.55804
54	14494.89336
55	14440.85572
56	14347.13788
57	14257.29739
58	14206.57266
59	14175.13359
60	14112.87312
61	14017.44429
62	13934.44514
63	13915.3692
64	13896.78515
65	13859.32984
66	13801.91884
67	13778.78076
68	13729.60528
69	13688.15028
70	13631.61284
71	13613.37064
72	13582.03999
73	13556.49447
74	13545.9995
75	13496.78501
76	13483.18372
77	13468.38339
78	13359.591
79	13274.93773
80	13248.59798
81	13135.42462
82	13077.32647
83	13026.1188
84	13007.06539
85	12899.85427
86	12826.5838
87	12768.28598
88	12698.25606
89	12685.51162
90	12645.86933
91	12632.04853
92	12620.00552
93	12538.36957
94	12455.35082
95	12398.91443
96	12386.97752
97	12376.89774
98	12333.72694
99	12257.5423
100	12249.76099
101	12172.86022
102	12165.22224
103	12158.35747
104	12150.27966
105	12081.99024
106	12031.73424
107	11950.87925
108	11943.37728
109	11936.38501
110	11864.67699
111	11827.98055
112	11822.55354
113	11765.64479
114	11725.02268
115	11687.94812
116	11629.91366
117	11592.10642
118	11548.71823
119	11496.90624
120	11454.82282
121	11376.04072
122	11325.94974
123	11292.71767
124	11286.64941
125	11247.57071
126	11230.1834
127	11200.86207
128	11137.1724
129	11128.88511
130	11118.75303
131	11075.60005
132	11060.42668
133	11056.23604
134	11009.4163
135	10961.10959
136	10909.11082
137	10872.15795
138	10811.06701
139	10748.21338
140	10702.32417
141	10698.93563
142	10642.87987
143	10616.9782
144	10564.15034
145	10533.806
146	10466.31818
147	10424.58964
148	10388.02513
149	10346.75219
150	10309.28953
151	10279.21243
152	10242.32204
153	10211.30222
154	10160.11097
155	10091.31598
156	10055.67961
157	10013.82628
158	9972.640042
159	9939.310668
160	9899.365783
161	9857.941033
162	9832.705983
163	9818.055373
164	9785.133668
165	9770.735153
166	9758.109159
167	9719.232387
168	9680.477629
169	9637.989032
170	9601.826588
171	9579.419065
172	9520.196398
173	9506.843648
174	9481.231473
175	9475.357312
176	9455.26151
177	9433.186661
178	9398.877017
179	9382.435168
180	9374.13897
181	9334.121789
182	9300.899842
183	9272.770547
184	9257.386434
185	9238.487579
186	9188.466124
187	9173.914418
188	9145.761453
189	9124.463305
190	9097.767735
191	9073.69612
192	9046.25205
193	9041.142288
194	9010.600009
195	8980.374215
196	8956.564429
197	8953.322681
198	8913.763416
199	8883.694764
