iter	Passed	Remaining
0	0	111
1	0	98
2	1	94
3	1	92
4	2	90
5	2	89
6	3	88
7	3	88
8	4	88
9	4	89
10	5	90
11	5	89
12	6	88
13	6	87
14	7	87
15	7	86
16	8	86
17	8	86
18	8	85
19	9	84
20	9	84
21	10	83
22	11	84
23	11	85
24	12	84
25	12	83
26	13	83
27	13	83
28	14	84
29	14	84
30	15	84
31	16	84
32	16	83
33	17	83
34	17	83
35	18	83
36	18	82
37	19	81
38	19	80
39	20	80
40	20	79
41	20	78
42	21	77
43	21	76
44	22	76
45	22	75
46	23	74
47	23	74
48	23	73
49	24	72
50	24	71
51	24	71
52	25	70
53	25	69
54	26	69
55	26	68
56	27	68
57	27	67
58	28	67
59	28	66
60	29	66
61	29	65
62	30	65
63	30	64
64	30	64
65	31	63
66	31	63
67	32	62
68	32	62
69	33	61
70	33	60
71	33	60
72	34	59
73	34	59
74	34	58
75	35	57
76	35	56
77	36	56
78	36	55
79	36	55
80	37	54
81	37	54
82	38	53
83	38	53
84	38	52
85	39	52
86	39	51
87	40	51
88	40	50
89	41	50
90	41	49
91	41	49
92	42	48
93	42	48
94	43	47
95	43	47
96	44	46
97	44	46
98	45	45
99	45	45
100	45	44
101	46	44
102	46	44
103	47	43
104	47	43
105	48	42
106	48	42
107	49	41
108	49	41
109	49	40
110	50	40
111	50	39
112	51	39
113	51	39
114	52	38
115	52	38
116	53	37
117	53	37
118	54	36
119	54	36
120	54	35
121	55	35
122	55	34
123	56	34
124	56	33
125	56	33
126	57	32
127	57	32
128	58	32
129	58	31
130	59	31
131	59	30
132	59	30
133	60	29
134	60	29
135	61	28
136	61	28
137	62	27
138	62	27
139	62	26
140	63	26
141	63	26
142	64	25
143	64	25
144	65	24
145	65	24
146	65	23
147	66	23
148	66	22
149	67	22
150	67	21
151	67	21
152	68	20
153	68	20
154	69	20
155	69	19
156	69	19
157	70	18
158	70	18
159	71	17
160	71	17
161	72	16
162	72	16
163	73	16
164	73	15
165	73	15
166	74	14
167	74	14
168	75	13
169	75	13
170	75	12
171	76	12
172	76	11
173	77	11
174	77	11
175	78	10
176	78	10
177	78	9
178	79	9
179	79	8
180	80	8
181	80	7
182	80	7
183	81	7
184	81	6
185	82	6
186	82	5
187	83	5
188	83	4
189	83	4
190	84	3
191	84	3
192	85	3
193	85	2
194	86	2
195	86	1
196	86	1
197	87	0
198	87	0
199	88	0
