course_module_id,course_id,title,description,status,created_by,created_at,updated_by,updated_at
1,1,"Understanding Innovation","Welcome to the First step in your Problem Solving Journey. Do you want to make a difference in the world around you but are not sure how? Then watch the story of our Problem Solvers: Saniya, Arun,Deepthi and Amir. What inspired them to be Problem Solvers? Let us see and get inspired too!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
2,1,"Problem Identification and Opportunity Recognition","Congrulations! on the start of your Journey. Do you know what makes a great team? Let's find out what Arun's teacher has to say about it.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
3,1,"Ideation and Prototyping","Phew! Just like Amir and his team, you too have a strong team of Problem Solvers.But you know, Amir and his team are confused how to Find problems in their community. I am sure you too must be wondering.Geetha and their teacher helped them out. But who is Geetha? Let's find out!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
4,1,"Building the Foundation of Your Venture","Are you ready with your chosen Problem? Remember? Deepthi and team too have chosen a problem to solve. But do they know enough about the problem they identified? Let us see how they Explored the problem deeper to understand it better!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
5,1,"Planning and Execution","Give yourself a pat on your back for completing more than half of the Problem Solving Journey. You are a Star. The Journey ahead is full of Fun and Learning. Ideas! Ideas! Ideas! Let's see how Arun and team came up with them and learn from them how to Give Ideas!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
6,1,"Marketing and Growth Strategies","Now Comes the most exciting step in your Problem Solving Journey: Make your Idea Real. Are you excited to see how Saniya and team did that? We are excited too, to tell you their story! So, why wait? Let's watch and learn!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
7,2,"Understanding Innovation","Welcome to the First step in your Problem Solving Journey. Do you want to make a difference in the world around you but are not sure how? Then watch the story of our Problem Solvers: Saniya, Arun,Deepthi and Amir. What inspired them to be Problem Solvers? Let us see and get inspired too!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
8,2,"Problem Identification and Opportunity Recognition","Congrulations! on the start of your Journey. Do you know what makes a great team? Let's find out what Arun's teacher has to say about it.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
9,2,"Ideation and Prototyping","Phew! Just like Amir and his team, you too have a strong team of Problem Solvers.But you know, Amir and his team are confused how to Find problems in their community. I am sure you too must be wondering.Geetha and their teacher helped them out. But who is Geetha? Let's find out!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
10,2,"Building the Foundation of Your Venture","Are you ready with your chosen Problem? Remember? Deepthi and team too have chosen a problem to solve. But do they know enough about the problem they identified? Let us see how they Explored the problem deeper to understand it better!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
11,2,"Planning and Execution","Give yourself a pat on your back for completing more than half of the Problem Solving Journey. You are a Star. The Journey ahead is full of Fun and Learning. Ideas! Ideas! Ideas! Let's see how Arun and team came up with them and learn from them how to Give Ideas!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
12,2,"Marketing and Growth Strategies","Now Comes the most exciting step in your Problem Solving Journey: Make your Idea Real. Are you excited to see how Saniya and team did that? We are excited too, to tell you their story! So, why wait? Let's watch and learn!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
