dashboard_map_stat_id,district_name,overall_schools,reg_schools,teams,students,ideas,reg_mentors,schools_with_teams,status,created_by,created_at,updated_by,updated_at
1,ADILABAD,,,75,198,3,24,0,ACTIVE,NULL,NULL,NULL,NULL
2,"BHADRADRI KOTHAGUDEM",,,57,157,4,16,0,ACTIVE,NULL,NULL,NULL,NULL
3,HANUMAKONDA,,,81,198,3,5,0,ACTIVE,NULL,NULL,NULL,NULL
4,HYDERABAD,,,349,799,73,33,0,ACTIVE,NULL,NULL,NULL,NULL
5,JAGTIAL,,,32,83,2,4,0,ACTIVE,NULL,NULL,NULL,NULL
6,JANGAON,,,28,67,2,2,0,ACTIVE,NULL,NULL,NULL,NULL
7,"JAYASHANKAR BHUPALPALLY",,,65,139,2,8,0,ACTIVE,NULL,NULL,NULL,NULL
8,"JOGULAMBA GADWAL",,,50,132,4,6,0,ACTIVE,NULL,NULL,NULL,NULL
9,KAMAREDDY,,,142,336,12,11,0,ACTIVE,NULL,NULL,NULL,NULL
10,KARIMNAGAR,,,135,388,4,14,0,ACTIVE,NULL,NULL,NULL,NULL
11,KHAMMAM,,,85,177,15,4,0,ACTIVE,NULL,NULL,NULL,NULL
12,"KOMARAM BHEEM ASIFABAD",,,15,36,5,2,0,ACTIVE,NULL,NULL,NULL,NULL
13,MAHABUBABAD,,,24,52,,2,0,ACTIVE,NULL,NULL,NULL,NULL
14,MAHABUBNAGAR,,,102,179,2,29,0,ACTIVE,NULL,NULL,NULL,NULL
15,MANCHERIAL,,,45,128,1,4,0,ACTIVE,NULL,NULL,NULL,NULL
16,MEDAK,,,229,426,26,9,0,ACTIVE,NULL,NULL,NULL,NULL
17,MEDCHAL-MALKAJGIRI,,,229,487,6,25,0,ACTIVE,NULL,NULL,NULL,NULL
18,MULUGU,,,44,157,,6,0,ACTIVE,NULL,NULL,NULL,NULL
19,NAGARKURNOOL,,,141,262,1,23,0,ACTIVE,NULL,NULL,NULL,NULL
20,NALGONDA,,,334,757,6,18,0,ACTIVE,NULL,NULL,NULL,NULL
21,NARAYANPET,,,49,71,2,3,0,ACTIVE,NULL,NULL,NULL,NULL
22,NIRMAL,,,61,127,8,6,0,ACTIVE,NULL,NULL,NULL,NULL
23,NIZAMABAD,,,391,730,30,23,0,ACTIVE,NULL,NULL,NULL,NULL
24,PEDDAPALLI,,,23,52,,3,0,ACTIVE,NULL,NULL,NULL,NULL
25,"RAJANNA SIRCILLA",,,86,122,8,5,0,ACTIVE,NULL,NULL,NULL,NULL
26,RANGAREDDY,,,167,424,9,12,0,ACTIVE,NULL,NULL,NULL,NULL
27,SANGAREDDY,,,309,675,16,14,0,ACTIVE,NULL,NULL,NULL,NULL
28,SIDDIPET,,,933,1420,28,32,0,ACTIVE,NULL,NULL,NULL,NULL
29,SURYAPET,,,33,81,,3,0,ACTIVE,NULL,NULL,NULL,NULL
30,VIKARABAD,,,82,252,6,9,0,ACTIVE,NULL,NULL,NULL,NULL
31,WANAPARTHY,,,93,175,2,19,0,ACTIVE,NULL,NULL,NULL,NULL
32,WARANGAL,,,109,286,12,11,0,ACTIVE,NULL,NULL,NULL,NULL
33,"YADADRI BHUVANAGIRI",,,41,117,1,4,0,ACTIVE,NULL,NULL,NULL,NULL
