organization_id,organization_name,organization_code,unique_code,state,district,category,pin_code,city,address,country,status,new_district,principal_name,principal_mobile,principal_email,created_by,created_at,updated_by,updated_at
1,"GOVERNMENT MODEL SR SEC SCHOOL ",35010300501,2a2a7978,Telangana,ADILABAD,ATL,744101,"PORT BLAIR","Aberdeen Bazar, Shadipur, Port Blair, Andaman and Nicobar Islands- 744101",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
2,"JAWAHAR NAVODAYA VIDYALAYA PANCHAWATI",35030101603,87707111,Telangana,"BHADRADRI KOTHAGUDEM",ATL,744205,"NORTH AND MIDDLE ANDAMAN","VILL-PANCHAWATI PO-RANGAT DIST-NORTH & MIDDLE ANDAMAN PIN - 744205",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
3,"UMMAT PUBLIC SCHOOL",35010101803,b5c69604,Telangana,HYDERABAD,ATL,744103,"PORT BLAIR","UMMAT PUBLIC SCHOOL AUSTINABAD BRICHGUNJ POST PORT BLAIR PIN 744103",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
4,"GOVT SECONDARY SCHOOL DAIRY FARM",35010104101,16624626,Telangana,JAGTIAL,ATL,744103,"PORT BLAIR","Dairy Farm, Port Blair, South Andaman District",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
5,"GOVT SR SEC SCHOOL HADDO TELUGU MEDIUM",35010104504,14354013,Telangana,JANGAON,ATL,744102,PORTBLAIR,"POST - HADDO PORT BLAIR PIN CODE - 744102 ANDAMAN AND NICOBAR ISLANDS",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
6,"GOVERNMENT BOYS SENIOR SECONDARY SCHOOL",35010104710,22143132,Telangana,"JAYASHANKAR BHUPALPALLY",ATL,744101,"PORT BLAIR","MIDDLE POINT PORT BLAIR SOUTH ANDAMAN ANDAMAN & NICOBAR ISLANDS",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
7,"GOVT SENIOR SECONDARY SCHOOL DIGLIPUR",35030301201,27662082,Telangana,"JOGULAMBA GADWAL",ATL,744202,DIGLIPUR,"GOVT SENIOR SECONDARY SCHOOL, DIGLIPUR NORTH ANDAMAN PIN- 744202 ANDAMAN & NICOBAR ISLANDS",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
8,"GOVT SENIOR SECONDARY SCHOOL MOHANPURA",35010104725,77592418,Telangana,KAMAREDDY,ATL,744101,"PORT BLAIR","GOVT SENIOR SECONDARY SCHOOL MOHANPURA PORT BLAIR 744101",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
9,"GOVT SENIOR SECONDARY SCHOOL HADDO",35010104503,23283143,Telangana,KARIMNAGAR,ATL,744102,"PORT BLAIR","HADDO P O WARD NO 2 PORT BLAIR ANDAMAN & NICOBAR ISLANDS PIN 744102",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
10,"GOVT SR SEC SCHOOL SCHOOL LINE",35010104001,19496812,Telangana,KHAMMAM,ATL,744103,"PORT BLAIR","School Line",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
11,"ASHRAM PUBLIC SCHOOL",28142495538,6dba10780,Telangana,"KOMARAM BHEEM ASIFABAD",ATL,533003,KAKINADA,"Opp. Boat Club, Nagamalli Thota, Kakinada,Andhra Pradesh - 533003",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
12,"APSWR JUNIOR COLLEGE FOR GIRLS",28133501407,d6d73361,Telangana,MAHABUBABAD,ATL,531031,VISHAKHAPATNAM,"Tallapalem,Village, Near Nh 5, Kasimkota Mandalam, Visakhapatnam, Andhra Pradesh-531031",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
13,"A P MODEL SCHOOL G SIGADAM",28110501714,91f11538,Telangana,MAHABUBNAGAR,ATL,532148,SRIKAKULAM,"AP MODEL SCHOOL G SIGADAM VILLAGE&MANDAL SRIKAKULAM DISTRICT ANDHRAPRADESH PIN 532148",India,ACTIVE,NULL,NULL,NULL,NULL,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
