quiz_survey_question_id,quiz_survey_id,question_no,question,option_a,option_b,option_c,option_d,option_e,type,question_image,status,created_by,created_at,updated_by,updated_at
1,1,1,"Were you a part of the marathon last year?",Yes,No,,,,MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
2,3,1,"Now that you have completed the course, do you think Teacher training before the program helped you prepare for conducting the programme in your schools?","Extremely useful",Useful,"Slightly useful","Not useful",,MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
3,2,1,"How familiar are you with the Sustainable Development Goals (SDGs)?","Never heard of them / Not interested","Heard of them but don’t know details","Know some SDGs","Understand their purpose","Worked on projects related to SDGs",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
4,2,2,"What is your familiarity with Human-Centered Design (HCD)?","Never heard of this / Not interested","Heard of HCD but don’t know details","Understand HCD slightly","Know HCD through courses","Worked on projects using HCD",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
5,2,3,"How well do you understand Innovation (I)?","Never heard of this / Not interested","Heard of Innovation but don’t know its meaning","Understand Innovation slightly","Know Innovation through courses","Worked on Innovation projects",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
6,2,4,"What is your knowledge or experience with Entrepreneurship?","Never heard of this / Not interested","Heard of entrepreneurship but don’t know details","Understand entrepreneurship slightly","Know entrepreneurship through courses","Experience in running a business or side venture",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
7,2,5,"Have you ever created or worked on a business plan for an idea?","Don’t know what this is / Not interested","Heard of this but don’t know details","Heard of this but don’t know details","Think business planning is helpful","Worked on business plans before",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
8,2,6,"Have you ever submitted an idea or prototype for a social initiative or business?","Don’t know what this is / Not interested","Heard of competitions but don’t know how they work","Learned how to develop ideas/prototypes","Want an opportunity to submit ideas","Worked on social/business projects",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
9,2,7,"Have you ever pitched an idea to a jury or expert panel?","Don’t know what this is / Not interested","Heard of pitching ideas but don’t know details","Learned how to prepare/deliver a pitch","Want an opportunity to practice pitching"," Pitched ideas for a project or business",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
10,2,8,"Have you worked with a mentor for problem-solving or idea development?","Never done this / Not interested","Told mentoring is helpful but don’t know how","Never had a mentor but want to learn","Want to work with a mentor","orked with a mentor before",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
11,2,9,"What are some soft skills you are good at? (Select all that apply)",Communication,Teamwork,Problem-Solving,Leadership,"Time Management",MCQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
12,2,10,"What are some soft skills you would like to improve? (Select all that apply)",Communication,Teamwork,Problem-Solving,Leadership,"Time Management",MCQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
13,2,11,"What hard skills would you like to learn or improve? (Select all that apply)","Business Planning","Digital Marketing",Programming,"Financial Literacy","Public Speaking",MCQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
14,2,12,"What are your main reasons for joining this program? (Select up to 2)","Enhance my resume","Learn something new","Meet like-minded people","Work on a project","Teacher recommended",MCQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
15,2,13,"How often do you get an opportunity to:
Learn using online material like courses, websites or apps?","Not interested in online learning","I would like to learn online, but never did it before","I have done some online courses before ","I have done many online courses and want to do more",,MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
16,2,14,"What do you think will make online learning engaging and useful?","Short, engaging videos","Live discussions & sessions","Quizzes ","Practice assignment & Projects","Flexible scheduling to plan around my other commitments",MCQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
17,2,15,"How prepared do you feel to pursue your career aspirations?","Not at all prepared","Somewhat prepared","Very prepared","Not sure",,MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
18,2,16,"What challenges do you face in achieving your goals? (Select up to 2)","Financial constraints","Lack of guidance","Limited resources",Other,,MCQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
19,2,17,"What is your current access to resources like devices and internet?","Own a device and reliable internet","Shared device, slow internet","Public/shared network","No access to device or internet",,MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
20,4,1,"How familiar are you now with the Sustainable Development Goals (SDGs)?","Never heard of them / Not interested","Heard of them but don’t know details","Know some SDGs","Understand their purpose","Worked on projects related to SDGs",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
21,4,2,"How well do you understand Human-Centered Design (HCD) now?","Never heard of this / Not interested","Heard of HCD but don’t know details","Understand HCD slightly","Know HCD through courses","Applied HCD concepts in this program/project",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
22,4,3,"How has your understanding of  Innovation (I) changed after the program?","Still don’t know about Innovation","Know the basics but not confident","Understand Innovation principles","Used Innovation concepts in the program","Confidently apply Innovation to real-world challenges",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
23,4,4,"How has the program improved your knowledge or experience with Entrepreneurship?","Still don’t know much about it","Understand the basics","Gained knowledge on how to start a business","Applied entrepreneurship concepts in the program","Confidently apply entrepreneurship skills to my projects",MRQ,,ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
