Date,Product,Region,Units Sold,Unit Price,Revenue
2025-04-01,Headphones,South,48,605.89,29082.72
2025-04-01,Smartphone,North,19,78.95,1500.05
2025-04-01,Laptop,West,10,976.31,9763.1
2025-04-01,Monitor,North,28,750.53,21014.84
2025-04-01,Headphones,South,49,666.38,32652.62
2025-04-01,Keyboard,South,1,712.11,712.11
2025-04-01,Keyboard,South,11,363.83,4002.13
2025-04-02,Headphones,West,46,80.21,3689.66
2025-04-02,Smartphone,South,35,712.76,24946.6
2025-04-02,Monitor,East,43,221.06,9505.58
2025-04-02,Monitor,West,35,557.63,19517.05
2025-04-02,Monitor,South,21,523.34,10990.14
2025-04-02,Laptop,East,36,84.98,3059.28
2025-04-03,Monitor,North,47,133.49,6274.03
2025-04-03,Headphones,South,39,600.67,23426.13
2025-04-03,Monitor,East,12,55.04,660.48
2025-04-03,Laptop,West,13,500.27,6503.51
2025-04-03,Monitor,North,28,387.35,10845.8
2025-04-03,Keyboard,North,3,997.39,2992.17
2025-04-03,Smartphone,West,13,449.51,5843.63
2025-04-03,Laptop,East,31,67.33,2087.23
2025-04-03,Smartphone,South,36,837.71,30157.56
2025-04-04,Headphones,North,9,974.45,8770.05
2025-04-04,Keyboard,West,9,654.81,5893.29
2025-04-04,Laptop,West,17,354.61,6028.37
2025-04-04,Monitor,West,45,407.9,18355.5
2025-04-04,Smartphone,North,5,487.11,2435.55
2025-04-04,Monitor,South,29,712.78,20670.62
2025-04-04,Laptop,West,42,388.19,16303.98
2025-04-05,Keyboard,North,33,400.77,13225.41
2025-04-05,Keyboard,North,33,604.99,19964.67
2025-04-05,Monitor,North,18,858.28,15449.04
2025-04-05,Laptop,West,16,901.78,14428.48
2025-04-05,Smartphone,West,19,795.43,15113.17
2025-04-05,Monitor,West,32,516.21,16518.72
2025-04-06,Laptop,North,18,441.08,7939.44
2025-04-06,Laptop,South,24,707.13,16971.12
2025-04-07,Laptop,West,45,370.57,16675.65
2025-04-07,Smartphone,North,37,779.39,28837.43
2025-04-07,Headphones,South,3,386.44,1159.32
2025-04-07,Headphones,North,23,112.92,2597.16
2025-04-07,Headphones,South,6,579.86,3479.16
2025-04-07,Headphones,North,19,981.44,18647.36
2025-04-07,Keyboard,East,36,814.79,29332.44
2025-04-07,Headphones,West,12,558.28,6699.36
2025-04-07,Keyboard,East,31,622.64,19301.84
2025-04-07,Smartphone,South,29,128.61,3729.69
2025-04-08,Headphones,North,23,430.29,9896.67
2025-04-08,Keyboard,West,49,102.87,5040.63
2025-04-08,Smartphone,North,5,355.5,1777.5
2025-04-08,Monitor,East,45,380.04,17101.8
2025-04-08,Laptop,East,48,408.42,19604.16
2025-04-08,Monitor,South,11,762.1,8383.1
2025-04-08,Laptop,West,21,627.18,13170.78
2025-04-08,Headphones,West,17,445.81,7578.77
2025-04-08,Monitor,West,28,585.77,16401.56
2025-04-08,Laptop,East,3,375.78,1127.34
2025-04-09,Headphones,South,39,176.46,6881.94
2025-04-09,Smartphone,South,45,586.24,26380.8
2025-04-09,Laptop,West,47,914.95,43002.65
2025-04-09,Monitor,South,47,904.67,42519.49
2025-04-09,Laptop,South,41,636.4,26092.4
2025-04-09,Keyboard,South,45,427.31,19228.95
2025-04-09,Laptop,North,28,846.65,23706.2
2025-04-10,Laptop,North,12,539.47,6473.64
2025-04-10,Monitor,South,12,769.15,9229.8
2025-04-10,Monitor,South,13,571.28,7426.64
2025-04-10,Headphones,East,38,749.98,28499.24
2025-04-10,Smartphone,North,26,239.53,6227.78
2025-04-11,Keyboard,North,23,943.51,21700.73
2025-04-11,Keyboard,South,41,134.74,5524.34
2025-04-11,Monitor,West,41,788.72,32337.52
2025-04-11,Keyboard,North,34,440.69,14983.46
2025-04-12,Keyboard,East,16,282.14,4514.24
2025-04-12,Headphones,East,36,739.81,26633.16
2025-04-12,Laptop,North,20,133.99,2679.8
2025-04-12,Headphones,South,32,244.79,7833.28
2025-04-12,Keyboard,West,41,815.57,33438.37
2025-04-12,Keyboard,West,16,93.57,1497.12
2025-04-12,Laptop,West,20,223.17,4463.4
2025-04-12,Laptop,West,37,62.99,2330.63
2025-04-12,Smartphone,South,7,380.24,2661.68
2025-04-13,Laptop,North,44,190.35,8375.4
2025-04-13,Smartphone,East,26,762.14,19815.64
2025-04-13,Headphones,North,22,130.29,2866.38
2025-04-13,Headphones,East,28,553.35,15493.8
2025-04-14,Laptop,East,38,732.53,27836.14
2025-04-14,Monitor,North,9,899.51,8095.59
2025-04-14,Headphones,West,11,921.53,10136.83
2025-04-14,Monitor,East,14,740.08,10361.12
2025-04-14,Monitor,East,14,374.49,5242.86
2025-04-14,Laptop,North,29,137.68,3992.72
2025-04-15,Monitor,South,25,523.26,13081.5
2025-04-15,Monitor,South,35,122.39,4283.65
2025-04-15,Keyboard,West,23,597.2,13735.6
2025-04-15,Laptop,North,2,363.59,727.18
2025-04-15,Keyboard,North,10,852.22,8522.2
2025-04-15,Monitor,East,7,986.94,6908.58
2025-04-15,Smartphone,North,8,244.82,1958.56
2025-04-15,Laptop,South,21,849.99,17849.79
2025-04-15,Smartphone,East,28,969.59,27148.52
2025-04-15,Headphones,East,30,342.39,10271.7
2025-04-15,Monitor,West,42,248.67,10444.14
2025-04-16,Headphones,South,1,874.89,874.89
2025-04-16,Smartphone,South,23,71.08,1634.84
2025-04-16,Monitor,West,27,172.31,4652.37
2025-04-16,Headphones,East,37,937.01,34669.37
2025-04-17,Headphones,North,1,271.56,271.56
2025-04-17,Monitor,South,23,311.0,7153.0
2025-04-17,Smartphone,West,41,132.93,5450.13
2025-04-17,Headphones,South,31,560.4,17372.4
2025-04-18,Laptop,North,17,830.7,14121.9
2025-04-18,Headphones,South,35,605.53,21193.55
2025-04-18,Smartphone,West,12,627.68,7532.16
2025-04-18,Headphones,East,31,570.07,17672.17
2025-04-18,Headphones,East,17,617.41,10495.97
2025-04-19,Keyboard,North,10,574.01,5740.1
2025-04-19,Keyboard,North,49,969.58,47509.42
2025-04-19,Monitor,West,39,558.57,21784.23
2025-04-19,Monitor,North,49,657.39,32212.11
2025-04-19,Smartphone,North,28,721.87,20212.36
2025-04-20,Headphones,West,12,806.65,9679.8
2025-04-20,Laptop,South,36,530.8,19108.8
2025-04-20,Headphones,South,46,307.41,14140.86
2025-04-20,Headphones,North,25,610.46,15261.5
2025-04-21,Monitor,West,8,923.22,7385.76
2025-04-21,Monitor,North,5,547.42,2737.1
2025-04-21,Laptop,East,21,110.34,2317.14
2025-04-21,Laptop,West,25,559.76,13994.0
2025-04-21,Laptop,North,45,52.47,2361.15
2025-04-21,Laptop,West,12,907.99,10895.88
2025-04-21,Monitor,West,4,986.02,3944.08
2025-04-21,Laptop,East,35,917.51,32112.85
2025-04-22,Smartphone,West,47,880.6,41388.2
2025-04-22,Keyboard,South,49,408.96,20039.04
2025-04-22,Monitor,West,25,590.63,14765.75
2025-04-22,Headphones,West,14,850.2,11902.8
2025-04-22,Monitor,South,10,621.84,6218.4
2025-04-23,Monitor,South,36,57.16,2057.76
2025-04-23,Laptop,West,26,206.59,5371.34
2025-04-23,Headphones,West,35,264.07,9242.45
2025-04-23,Smartphone,West,20,481.55,9631.0
2025-04-23,Laptop,West,48,802.23,38507.04
2025-04-23,Monitor,West,37,507.09,18762.33
2025-04-23,Keyboard,South,8,829.82,6638.56
2025-04-24,Laptop,West,13,149.63,1945.19
2025-04-24,Laptop,West,20,513.42,10268.4
2025-04-24,Laptop,South,8,848.67,6789.36
2025-04-24,Monitor,South,45,927.84,41752.8
2025-04-24,Monitor,North,7,506.35,3544.45
2025-04-24,Headphones,West,29,423.34,12276.86
2025-04-24,Laptop,East,10,177.16,1771.6
2025-04-25,Monitor,South,7,577.07,4039.49
2025-04-25,Keyboard,East,19,536.07,10185.33
2025-04-25,Laptop,West,22,506.04,11132.88
2025-04-25,Smartphone,South,39,873.85,34080.15
2025-04-25,Laptop,East,36,771.96,27790.56
2025-04-25,Smartphone,North,24,288.87,6932.88
2025-04-26,Keyboard,West,16,333.06,5328.96
2025-04-26,Headphones,South,44,607.21,26717.24
2025-04-26,Headphones,West,19,478.36,9088.84
2025-04-26,Keyboard,West,16,736.75,11788.0
2025-04-26,Smartphone,East,38,377.83,14357.54
2025-04-26,Smartphone,East,26,882.83,22953.58
2025-04-26,Headphones,West,4,274.31,1097.24
2025-04-26,Headphones,East,36,725.4,26114.4
2025-04-26,Laptop,North,18,769.23,13846.14
2025-04-27,Monitor,West,15,99.05,1485.75
2025-04-27,Headphones,South,32,246.87,7899.84
2025-04-27,Headphones,South,25,505.6,12640.0
2025-04-27,Laptop,South,37,884.31,32719.47
2025-04-27,Smartphone,North,24,502.79,12066.96
2025-04-28,Smartphone,West,8,749.43,5995.44
2025-04-28,Monitor,North,6,554.7,3328.2
2025-04-28,Keyboard,North,32,409.83,13114.56
2025-04-28,Laptop,South,25,486.38,12159.5
2025-04-28,Monitor,East,36,780.47,28096.92
2025-04-28,Laptop,North,49,94.55,4632.95
2025-04-28,Laptop,West,13,305.24,3968.12
2025-04-28,Smartphone,East,28,136.45,3820.6
2025-04-28,Keyboard,North,38,703.4,26729.2
2025-04-28,Headphones,North,19,109.22,2075.18
2025-04-28,Keyboard,East,49,762.42,37358.58
2025-04-28,Monitor,South,31,734.49,22769.19
2025-04-29,Laptop,East,27,935.41,25256.07
2025-04-29,Laptop,West,27,702.81,18975.87
2025-04-29,Laptop,South,44,262.66,11557.04
2025-04-29,Laptop,East,39,279.03,10882.17
2025-04-29,Headphones,East,39,639.77,24951.03
2025-04-29,Headphones,North,26,602.1,15654.6
2025-04-29,Keyboard,East,2,176.53,353.06
2025-04-30,Laptop,West,17,825.57,14034.69
2025-04-30,Headphones,North,9,614.19,5527.71
2025-04-30,Laptop,East,11,711.68,7828.48
2025-04-30,Smartphone,South,40,557.7,22308.0
2025-04-30,Headphones,West,8,199.13,1593.04
2025-04-30,Monitor,East,35,502.4,17584.0
2025-04-30,Headphones,South,9,121.59,1094.31
2025-04-30,Laptop,North,19,397.09,7544.71
2025-04-30,Smartphone,South,41,839.8,34431.8
