Date,Product,Region,Units Sold,Unit Price,Revenue
2025-05-01,Keyboard,East,29,723.61,20984.69
2025-05-01,Smartphone,South,27,824.08,22250.16
2025-05-01,Keyboard,North,45,268.46,12080.7
2025-05-01,Monitor,East,48,240.14,11526.72
2025-05-01,Keyboard,East,28,710.23,19886.44
2025-05-01,Headphones,East,18,71.02,1278.36
2025-05-01,Monitor,East,28,127.55,3571.4
2025-05-01,Monitor,East,7,275.67,1929.69
2025-05-01,Smartphone,East,3,87.64,262.92
2025-05-01,Smartphone,West,34,422.87,14377.58
2025-05-02,Headphones,North,4,310.5,1242.0
2025-05-02,Keyboard,East,3,970.43,2911.29
2025-05-02,Monitor,South,6,826.43,4958.58
2025-05-02,Laptop,South,30,770.35,23110.5
2025-05-02,Smartphone,East,32,118.59,3794.88
2025-05-02,Monitor,West,12,279.94,3359.28
2025-05-03,Laptop,North,47,852.54,40069.38
2025-05-03,Headphones,West,4,805.07,3220.28
2025-05-03,Laptop,North,20,438.87,8777.4
2025-05-03,Laptop,North,15,133.47,2002.05
2025-05-03,Monitor,West,29,899.39,26082.31
2025-05-04,Smartphone,North,30,473.04,14191.2
2025-05-04,Smartphone,East,17,80.01,1360.17
2025-05-04,Laptop,East,45,900.08,40503.6
2025-05-04,Headphones,North,18,161.44,2905.92
2025-05-04,Headphones,West,23,667.81,15359.63
2025-05-04,Smartphone,West,36,755.57,27200.52
2025-05-04,Monitor,North,18,740.81,13334.58
2025-05-04,Keyboard,South,45,977.07,43968.15
2025-05-04,Monitor,South,29,391.27,11346.83
2025-05-05,Monitor,East,9,174.68,1572.12
2025-05-05,Monitor,West,49,644.91,31600.59
2025-05-05,Smartphone,South,19,661.4,12566.6
2025-05-05,Keyboard,East,3,226.25,678.75
2025-05-05,Headphones,East,43,267.03,11482.29
2025-05-05,Smartphone,North,29,988.27,28659.83
2025-05-05,Monitor,East,40,728.38,29135.2
2025-05-05,Laptop,West,5,639.87,3199.35
2025-05-05,Smartphone,North,22,613.3,13492.6
2025-05-05,Headphones,East,43,696.47,29948.21
2025-05-05,Monitor,North,20,421.53,8430.6
2025-05-05,Laptop,West,25,514.21,12855.25
2025-05-06,Monitor,West,46,512.34,23567.64
2025-05-06,Headphones,East,34,360.14,12244.76
2025-05-06,Smartphone,West,49,478.82,23462.18
2025-05-06,Keyboard,South,24,541.83,13003.92
2025-05-06,Laptop,South,27,879.75,23753.25
2025-05-06,Laptop,South,37,118.82,4396.34
2025-05-06,Keyboard,East,48,284.75,13668.0
2025-05-06,Keyboard,East,45,99.37,4471.65
2025-05-07,Keyboard,North,38,383.1,14557.8
2025-05-07,Laptop,North,47,305.54,14360.38
2025-05-07,Keyboard,South,5,654.61,3273.05
2025-05-07,Laptop,West,5,581.67,2908.35
2025-05-08,Laptop,North,46,252.45,11612.7
2025-05-08,Headphones,East,25,807.68,20192.0
2025-05-08,Smartphone,South,13,602.87,7837.31
2025-05-08,Headphones,North,38,111.0,4218.0
2025-05-08,Smartphone,South,5,733.24,3666.2
2025-05-08,Laptop,East,41,221.93,9099.13
2025-05-08,Smartphone,North,15,523.94,7859.1
